,algorithm,samples,error,error-ucb
0,RandomBaseline,100,0.09129974476163377,
1,RandomBaseline,250,0.05090014280858184,
2,RandomBaseline,500,0.04632330338999211,
3,RandomBaseline,1000,0.04092687369199001,
0,MB_QVI,100,0.0,
1,MB_QVI,250,0.0,
2,MB_QVI,500,0.0,
3,MB_QVI,1000,0.0,
0,RF-UCRL with clip,100,0.28222944175651554,50.0
1,RF-UCRL with clip,250,0.12065928126860592,50.0
2,RF-UCRL with clip,500,0.07348353404658356,50.0
3,RF-UCRL with clip,1000,0.059738384407919114,50.0
0,RF-UCRL without clip,100,0.26109411647575853,2120.4817524211544
1,RF-UCRL without clip,250,0.03598565766186569,1130.3704814399998
2,RF-UCRL without clip,500,0.025320482852774495,892.1595711537427
3,RF-UCRL without clip,1000,0.009639213751868199,619.8069972775203
